============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run4_multi_fixed.json
Job ID:     162434
Node:       sh06
Extra args: 
Start time: Fri Mar 27 09:51:33 PM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run4_multi_fixed.json) ==========

Using config file: configs/run4_multi_fixed.json
Run directory: outputs/run_013
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 25/45000 (17s) | R: -247.7 | SWAPs: 266 | Gates: 58% | Done: 52% | Loss: 0.059 | Q: -0.9 | ε: 0.999 | Steps: 6654 | ep_time: 0.2s
Ep 50/45000 (35s) | R: -214.8 | SWAPs: 239 | Gates: 66% | Done: 60% | Loss: 0.041 | Q: -0.9 | ε: 0.997 | Steps: 12617 | ep_time: 0.1s
Ep 75/45000 (46s) | R: -123.4 | SWAPs: 159 | Gates: 90% | Done: 88% | Loss: 0.045 | Q: -0.8 | ε: 0.997 | Steps: 16603 | ep_time: 0.3s
Ep 100/45000 (65s) | R: -217.2 | SWAPs: 238 | Gates: 65% | Done: 60% | Loss: 0.038 | Q: -0.8 | ε: 0.995 | Steps: 22550 | ep_time: 0.2s
Ep 125/45000 (87s) | R: -249.8 | SWAPs: 266 | Gates: 56% | Done: 48% | Loss: 0.032 | Q: -0.9 | ε: 0.994 | Steps: 29196 | ep_time: 1.3s
Ep 150/45000 (106s) | R: -223.1 | SWAPs: 250 | Gates: 66% | Done: 60% | Loss: 0.025 | Q: -0.9 | ε: 0.993 | Steps: 35441 | ep_time: 0.3s
Ep 175/45000 (124s) | R: -200.6 | SWAPs: 224 | Gates: 69% | Done: 64% | Loss: 0.023 | Q: -1.0 | ε: 0.992 | Steps: 41050 | ep_time: 1.3s
Ep 200/45000 (141s) | R: -192.1 | SWAPs: 218 | Gates: 72% | Done: 68% | Loss: 0.016 | Q: -0.9 | ε: 0.991 | Steps: 46509 | ep_time: 1.4s
Ep 225/45000 (157s) | R: -168.1 | SWAPs: 198 | Gates: 79% | Done: 76% | Loss: 0.017 | Q: -0.9 | ε: 0.990 | Steps: 51461 | ep_time: 0.2s
Ep 250/45000 (173s) | R: -176.1 | SWAPs: 205 | Gates: 76% | Done: 72% | Loss: 0.015 | Q: -0.9 | ε: 0.989 | Steps: 56574 | ep_time: 0.3s
Ep 275/45000 (190s) | R: -187.7 | SWAPs: 212 | Gates: 69% | Done: 64% | Loss: 0.012 | Q: -1.0 | ε: 0.988 | Steps: 61867 | ep_time: 0.1s
Ep 300/45000 (211s) | R: -246.9 | SWAPs: 264 | Gates: 55% | Done: 48% | Loss: 0.013 | Q: -1.0 | ε: 0.986 | Steps: 68467 | ep_time: 0.3s
Ep 325/45000 (229s) | R: -208.3 | SWAPs: 231 | Gates: 66% | Done: 60% | Loss: 0.013 | Q: -1.0 | ε: 0.985 | Steps: 74251 | ep_time: 0.3s
Ep 350/45000 (248s) | R: -219.0 | SWAPs: 236 | Gates: 63% | Done: 56% | Loss: 0.012 | Q: -1.0 | ε: 0.984 | Steps: 80151 | ep_time: 0.3s
Ep 375/45000 (270s) | R: -242.6 | SWAPs: 266 | Gates: 59% | Done: 52% | Loss: 0.012 | Q: -1.0 | ε: 0.983 | Steps: 86791 | ep_time: 1.3s
Ep 400/45000 (290s) | R: -232.4 | SWAPs: 253 | Gates: 59% | Done: 52% | Loss: 0.010 | Q: -1.0 | ε: 0.981 | Steps: 93120 | ep_time: 0.4s
Ep 425/45000 (303s) | R: -125.1 | SWAPs: 161 | Gates: 90% | Done: 88% | Loss: 0.011 | Q: -1.0 | ε: 0.981 | Steps: 97138 | ep_time: 0.5s
Ep 450/45000 (319s) | R: -183.0 | SWAPs: 212 | Gates: 73% | Done: 68% | Loss: 0.011 | Q: -1.0 | ε: 0.980 | Steps: 102431 | ep_time: 1.3s
Ep 475/45000 (334s) | R: -156.2 | SWAPs: 184 | Gates: 80% | Done: 76% | Loss: 0.011 | Q: -1.0 | ε: 0.979 | Steps: 107034 | ep_time: 0.2s
Ep 500/45000 (351s) | R: -186.6 | SWAPs: 214 | Gates: 73% | Done: 68% | Loss: 0.010 | Q: -1.0 | ε: 0.978 | Steps: 112391 | ep_time: 0.3s
Ep 525/45000 (365s) | R: -154.7 | SWAPs: 180 | Gates: 80% | Done: 76% | Loss: 0.012 | Q: -1.0 | ε: 0.977 | Steps: 116886 | ep_time: 0.3s
