============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run16_multi_low_eps.json
Job ID:     162869
Node:       sh03
Extra args: 
Start time: Sat Mar 28 09:45:18 AM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run16_multi_low_eps.json) ==========

Using config file: configs/run16_multi_low_eps.json
Run directory: outputs/run_016
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 25/45000 (18s) | R: -247.7 | SWAPs: 267 | Gates: 59% | Done: 52% | Loss: 0.060 | Q: -0.9 | ε: 0.999 | Steps: 6664 | ep_time: 0.3s
Ep 50/45000 (37s) | R: -214.8 | SWAPs: 238 | Gates: 66% | Done: 60% | Loss: 0.047 | Q: -0.9 | ε: 0.997 | Steps: 12622 | ep_time: 0.2s
Ep 75/45000 (49s) | R: -125.0 | SWAPs: 161 | Gates: 89% | Done: 88% | Loss: 0.042 | Q: -0.8 | ε: 0.996 | Steps: 16638 | ep_time: 0.2s
Ep 100/45000 (68s) | R: -214.4 | SWAPs: 236 | Gates: 66% | Done: 60% | Loss: 0.040 | Q: -0.8 | ε: 0.995 | Steps: 22542 | ep_time: 0.3s
Ep 125/45000 (89s) | R: -244.9 | SWAPs: 260 | Gates: 54% | Done: 48% | Loss: 0.026 | Q: -0.9 | ε: 0.994 | Steps: 29054 | ep_time: 1.3s
Ep 150/45000 (109s) | R: -225.6 | SWAPs: 252 | Gates: 66% | Done: 60% | Loss: 0.021 | Q: -0.9 | ε: 0.992 | Steps: 35360 | ep_time: 0.7s
Ep 175/45000 (127s) | R: -202.7 | SWAPs: 227 | Gates: 69% | Done: 64% | Loss: 0.019 | Q: -0.9 | ε: 0.991 | Steps: 41032 | ep_time: 1.3s
Ep 200/45000 (144s) | R: -185.3 | SWAPs: 212 | Gates: 72% | Done: 68% | Loss: 0.019 | Q: -0.9 | ε: 0.990 | Steps: 46325 | ep_time: 1.3s
Ep 225/45000 (159s) | R: -161.5 | SWAPs: 193 | Gates: 79% | Done: 76% | Loss: 0.014 | Q: -0.9 | ε: 0.989 | Steps: 51139 | ep_time: 0.2s
Ep 250/45000 (175s) | R: -171.6 | SWAPs: 201 | Gates: 77% | Done: 72% | Loss: 0.015 | Q: -0.9 | ε: 0.988 | Steps: 56169 | ep_time: 0.2s
Ep 275/45000 (192s) | R: -196.0 | SWAPs: 217 | Gates: 68% | Done: 64% | Loss: 0.013 | Q: -0.9 | ε: 0.987 | Steps: 61600 | ep_time: 0.3s
Ep 300/45000 (214s) | R: -251.0 | SWAPs: 268 | Gates: 55% | Done: 48% | Loss: 0.013 | Q: -1.0 | ε: 0.985 | Steps: 68299 | ep_time: 0.4s
Ep 325/45000 (232s) | R: -199.3 | SWAPs: 222 | Gates: 66% | Done: 60% | Loss: 0.015 | Q: -1.0 | ε: 0.984 | Steps: 73855 | ep_time: 0.2s
Ep 350/45000 (251s) | R: -222.8 | SWAPs: 238 | Gates: 62% | Done: 56% | Loss: 0.012 | Q: -1.0 | ε: 0.983 | Steps: 79817 | ep_time: 0.4s
Ep 375/45000 (272s) | R: -246.2 | SWAPs: 268 | Gates: 58% | Done: 52% | Loss: 0.010 | Q: -1.0 | ε: 0.981 | Steps: 86514 | ep_time: 1.3s
Ep 400/45000 (292s) | R: -231.8 | SWAPs: 253 | Gates: 60% | Done: 52% | Loss: 0.011 | Q: -1.0 | ε: 0.980 | Steps: 92850 | ep_time: 0.4s
Ep 425/45000 (305s) | R: -135.9 | SWAPs: 171 | Gates: 90% | Done: 88% | Loss: 0.012 | Q: -1.0 | ε: 0.979 | Steps: 97117 | ep_time: 0.6s
Ep 450/45000 (322s) | R: -193.2 | SWAPs: 221 | Gates: 73% | Done: 68% | Loss: 0.011 | Q: -1.0 | ε: 0.978 | Steps: 102647 | ep_time: 1.3s
Ep 475/45000 (337s) | R: -159.0 | SWAPs: 185 | Gates: 79% | Done: 76% | Loss: 0.009 | Q: -1.0 | ε: 0.977 | Steps: 107272 | ep_time: 0.2s
Ep 500/45000 (354s) | R: -183.7 | SWAPs: 212 | Gates: 74% | Done: 68% | Loss: 0.012 | Q: -1.0 | ε: 0.975 | Steps: 112584 | ep_time: 0.3s
Ep 525/45000 (368s) | R: -155.0 | SWAPs: 181 | Gates: 80% | Done: 76% | Loss: 0.012 | Q: -1.0 | ε: 0.974 | Steps: 117101 | ep_time: 0.2s
Ep 550/45000 (385s) | R: -207.1 | SWAPs: 232 | Gates: 69% | Done: 64% | Loss: 0.010 | Q: -1.0 | ε: 0.973 | Steps: 122906 | ep_time: 0.4s
Ep 575/45000 (401s) | R: -192.2 | SWAPs: 220 | Gates: 69% | Done: 64% | Loss: 0.011 | Q: -0.9 | ε: 0.972 | Steps: 128398 | ep_time: 0.4s
