============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run18_multi_bignet_weighted.json
Job ID:     163144
Node:       sh21
Extra args: 
Start time: Sat Mar 28 06:45:39 PM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run18_multi_bignet_weighted.json) ==========

Using config file: configs/run18_multi_bignet_weighted.json
Run directory: outputs/run_018
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 47,938,133
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 60000
============================================================
Ep 25/60000 (36s) | R: -295.7 | SWAPs: 311 | Gates: 44% | Done: 36% | Loss: 0.025 | Q: -0.9 | ε: 0.998 | Steps: 7770 | ep_time: 1.2s
Ep 50/60000 (83s) | R: -305.4 | SWAPs: 322 | Gates: 45% | Done: 36% | Loss: 0.013 | Q: -1.0 | ε: 0.997 | Steps: 15830 | ep_time: 0.7s
Ep 75/60000 (129s) | R: -305.8 | SWAPs: 317 | Gates: 42% | Done: 32% | Loss: 0.009 | Q: -1.1 | ε: 0.995 | Steps: 23749 | ep_time: 0.8s
Ep 100/60000 (175s) | R: -294.8 | SWAPs: 311 | Gates: 44% | Done: 36% | Loss: 0.006 | Q: -1.1 | ε: 0.994 | Steps: 31533 | ep_time: 2.4s
Ep 125/60000 (218s) | R: -277.1 | SWAPs: 295 | Gates: 51% | Done: 44% | Loss: 0.007 | Q: -1.1 | ε: 0.992 | Steps: 38898 | ep_time: 1.0s
Ep 150/60000 (265s) | R: -303.1 | SWAPs: 316 | Gates: 41% | Done: 32% | Loss: 0.006 | Q: -1.1 | ε: 0.991 | Steps: 46795 | ep_time: 2.4s
Ep 175/60000 (312s) | R: -305.4 | SWAPs: 320 | Gates: 41% | Done: 32% | Loss: 0.007 | Q: -1.1 | ε: 0.989 | Steps: 54801 | ep_time: 1.1s
Ep 200/60000 (350s) | R: -237.4 | SWAPs: 261 | Gates: 59% | Done: 52% | Loss: 0.007 | Q: -1.1 | ε: 0.988 | Steps: 61324 | ep_time: 0.9s
Ep 225/60000 (387s) | R: -231.0 | SWAPs: 256 | Gates: 61% | Done: 56% | Loss: 0.006 | Q: -1.1 | ε: 0.987 | Steps: 67729 | ep_time: 2.4s
Ep 250/60000 (434s) | R: -302.1 | SWAPs: 315 | Gates: 42% | Done: 32% | Loss: 0.006 | Q: -1.1 | ε: 0.985 | Steps: 75597 | ep_time: 1.0s
Ep 275/60000 (474s) | R: -255.8 | SWAPs: 276 | Gates: 55% | Done: 48% | Loss: 0.006 | Q: -1.1 | ε: 0.984 | Steps: 82495 | ep_time: 0.9s
