============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run22_multi_weighted_80k.json
Job ID:     163455
Node:       sh20
Extra args: 
Start time: Sun Mar 29 03:45:25 AM CEST 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run22_multi_weighted_80k.json) ==========

Using config file: configs/run22_multi_weighted_80k.json
Run directory: outputs/run_021
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 80000
============================================================
Ep 25/80000 (23s) | R: -325.9 | SWAPs: 339 | Gates: 38% | Done: 28% | Loss: 0.041 | Q: -1.0 | ε: 0.999 | Steps: 8470 | ep_time: 1.3s
Ep 50/80000 (51s) | R: -334.1 | SWAPs: 345 | Gates: 35% | Done: 24% | Loss: 0.027 | Q: -1.0 | ε: 0.997 | Steps: 17096 | ep_time: 0.8s
Ep 75/80000 (78s) | R: -338.0 | SWAPs: 344 | Gates: 31% | Done: 20% | Loss: 0.016 | Q: -1.1 | ε: 0.996 | Steps: 25698 | ep_time: 0.6s
Ep 100/80000 (108s) | R: -355.5 | SWAPs: 360 | Gates: 27% | Done: 16% | Loss: 0.013 | Q: -1.2 | ε: 0.994 | Steps: 34703 | ep_time: 1.3s
Ep 125/80000 (135s) | R: -326.4 | SWAPs: 335 | Gates: 34% | Done: 24% | Loss: 0.014 | Q: -1.1 | ε: 0.993 | Steps: 43082 | ep_time: 1.3s
Ep 150/80000 (165s) | R: -357.6 | SWAPs: 362 | Gates: 27% | Done: 16% | Loss: 0.010 | Q: -1.2 | ε: 0.991 | Steps: 52132 | ep_time: 1.3s
Ep 175/80000 (192s) | R: -321.0 | SWAPs: 334 | Gates: 39% | Done: 28% | Loss: 0.011 | Q: -1.2 | ε: 0.990 | Steps: 60488 | ep_time: 1.3s
Ep 200/80000 (218s) | R: -301.9 | SWAPs: 315 | Gates: 42% | Done: 32% | Loss: 0.009 | Q: -1.2 | ε: 0.989 | Steps: 68360 | ep_time: 1.3s
Ep 225/80000 (245s) | R: -318.7 | SWAPs: 331 | Gates: 38% | Done: 28% | Loss: 0.010 | Q: -1.2 | ε: 0.987 | Steps: 76641 | ep_time: 1.3s
Ep 250/80000 (274s) | R: -334.4 | SWAPs: 345 | Gates: 34% | Done: 24% | Loss: 0.010 | Q: -1.2 | ε: 0.986 | Steps: 85274 | ep_time: 1.3s
Ep 275/80000 (301s) | R: -319.5 | SWAPs: 334 | Gates: 38% | Done: 28% | Loss: 0.009 | Q: -1.2 | ε: 0.985 | Steps: 93612 | ep_time: 1.3s
Ep 300/80000 (328s) | R: -312.2 | SWAPs: 323 | Gates: 37% | Done: 28% | Loss: 0.008 | Q: -1.2 | ε: 0.983 | Steps: 101686 | ep_time: 1.3s
Ep 325/80000 (354s) | R: -303.1 | SWAPs: 315 | Gates: 42% | Done: 32% | Loss: 0.013 | Q: -1.2 | ε: 0.982 | Steps: 109561 | ep_time: 0.5s
Ep 350/80000 (379s) | R: -281.1 | SWAPs: 300 | Gates: 48% | Done: 40% | Loss: 0.008 | Q: -1.2 | ε: 0.981 | Steps: 117057 | ep_time: 1.4s
Ep 375/80000 (408s) | R: -347.3 | SWAPs: 351 | Gates: 28% | Done: 16% | Loss: 0.010 | Q: -1.2 | ε: 0.979 | Steps: 125841 | ep_time: 1.3s
Ep 400/80000 (435s) | R: -314.6 | SWAPs: 330 | Gates: 39% | Done: 28% | Loss: 0.008 | Q: -1.2 | ε: 0.978 | Steps: 134099 | ep_time: 1.3s
Ep 425/80000 (463s) | R: -324.8 | SWAPs: 337 | Gates: 36% | Done: 24% | Loss: 0.007 | Q: -1.2 | ε: 0.977 | Steps: 142522 | ep_time: 1.4s
Ep 450/80000 (487s) | R: -277.2 | SWAPs: 292 | Gates: 48% | Done: 40% | Loss: 0.008 | Q: -1.2 | ε: 0.976 | Steps: 149823 | ep_time: 0.4s
Ep 475/80000 (515s) | R: -332.0 | SWAPs: 343 | Gates: 35% | Done: 24% | Loss: 0.009 | Q: -1.2 | ε: 0.974 | Steps: 158400 | ep_time: 1.4s
Ep 500/80000 (541s) | R: -301.7 | SWAPs: 315 | Gates: 43% | Done: 32% | Loss: 0.009 | Q: -1.2 | ε: 0.973 | Steps: 166283 | ep_time: 1.3s
Ep 525/80000 (566s) | R: -284.6 | SWAPs: 303 | Gates: 49% | Done: 40% | Loss: 0.009 | Q: -1.3 | ε: 0.972 | Steps: 173860 | ep_time: 1.3s
Ep 550/80000 (594s) | R: -326.2 | SWAPs: 338 | Gates: 38% | Done: 28% | Loss: 0.010 | Q: -1.2 | ε: 0.970 | Steps: 182322 | ep_time: 0.5s
Ep 575/80000 (619s) | R: -278.9 | SWAPs: 297 | Gates: 46% | Done: 36% | Loss: 0.009 | Q: -1.3 | ε: 0.969 | Steps: 189736 | ep_time: 1.3s
Ep 600/80000 (647s) | R: -327.5 | SWAPs: 343 | Gates: 36% | Done: 24% | Loss: 0.008 | Q: -1.3 | ε: 0.968 | Steps: 198307 | ep_time: 1.4s
Ep 625/80000 (677s) | R: -348.0 | SWAPs: 354 | Gates: 28% | Done: 16% | Loss: 0.010 | Q: -1.3 | ε: 0.966 | Steps: 207148 | ep_time: 1.3s
Ep 650/80000 (701s) | R: -270.7 | SWAPs: 287 | Gates: 49% | Done: 40% | Loss: 0.011 | Q: -1.3 | ε: 0.965 | Steps: 214335 | ep_time: 1.3s
Ep 675/80000 (728s) | R: -310.8 | SWAPs: 323 | Gates: 40% | Done: 28% | Loss: 0.011 | Q: -1.4 | ε: 0.964 | Steps: 222398 | ep_time: 1.3s
Ep 700/80000 (752s) | R: -275.9 | SWAPs: 296 | Gates: 53% | Done: 44% | Loss: 0.009 | Q: -1.3 | ε: 0.962 | Steps: 229809 | ep_time: 1.4s
Ep 725/80000 (779s) | R: -307.6 | SWAPs: 324 | Gates: 42% | Done: 32% | Loss: 0.009 | Q: -1.4 | ε: 0.961 | Steps: 237914 | ep_time: 1.3s
Ep 750/80000 (805s) | R: -306.2 | SWAPs: 316 | Gates: 39% | Done: 28% | Loss: 0.009 | Q: -1.4 | ε: 0.960 | Steps: 245818 | ep_time: 0.5s
Ep 775/80000 (833s) | R: -314.9 | SWAPs: 328 | Gates: 40% | Done: 28% | Loss: 0.009 | Q: -1.4 | ε: 0.959 | Steps: 254019 | ep_time: 1.3s
Ep 800/80000 (862s) | R: -335.4 | SWAPs: 346 | Gates: 32% | Done: 20% | Loss: 0.010 | Q: -1.4 | ε: 0.957 | Steps: 262663 | ep_time: 1.3s
Ep 825/80000 (893s) | R: -362.1 | SWAPs: 370 | Gates: 27% | Done: 12% | Loss: 0.007 | Q: -1.4 | ε: 0.956 | Steps: 271905 | ep_time: 1.3s
Ep 850/80000 (918s) | R: -292.6 | SWAPs: 309 | Gates: 44% | Done: 32% | Loss: 0.009 | Q: -1.5 | ε: 0.954 | Steps: 279628 | ep_time: 1.3s
Ep 875/80000 (943s) | R: -279.3 | SWAPs: 296 | Gates: 47% | Done: 36% | Loss: 0.006 | Q: -1.4 | ε: 0.953 | Steps: 287018 | ep_time: 0.2s
Ep 900/80000 (969s) | R: -301.3 | SWAPs: 318 | Gates: 43% | Done: 32% | Loss: 0.009 | Q: -1.5 | ε: 0.952 | Steps: 294967 | ep_time: 1.4s
Ep 925/80000 (995s) | R: -290.1 | SWAPs: 309 | Gates: 45% | Done: 32% | Loss: 0.007 | Q: -1.5 | ε: 0.951 | Steps: 302683 | ep_time: 1.3s
Ep 950/80000 (1020s) | R: -287.5 | SWAPs: 309 | Gates: 48% | Done: 36% | Loss: 0.010 | Q: -1.5 | ε: 0.949 | Steps: 310399 | ep_time: 1.3s
